# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Uelm_bnd
# 14 Uelm_out_mvw
# 15 Uelm_inj_mvw
# 16 Dens_ion
# 17 Ntot_ion
# 18 Zavg_ion
# 19 Ukin_ion
# 20 Urad_ion
# 21 Dens_eon1
# 22 Ntot_eon1
# 23 Zavg_eon1
# 24 Ukin_eon1
# 25 Urad_eon1
# 26 Dens_eon2
# 27 Ntot_eon2
# 28 Zavg_eon2
# 29 Ukin_eon2
# 30 Urad_eon2
# 31 Uelm_Ex
# 32 Uelm_Ey
# 33 Uelm_Ez
# 34 Uelm_Bx_m
# 35 Uelm_By_m
# 36 Uelm_Bz_m
# 37 ExMin
# 38 ExMinCell
# 39 ExMax
# 40 ExMaxCell
# 41 EyMin
# 42 EyMinCell
# 43 EyMax
# 44 EyMaxCell
# 45 EzMin
# 46 EzMinCell
# 47 EzMax
# 48 EzMaxCell
# 49 Bx_mMin
# 50 Bx_mMinCell
# 51 Bx_mMax
# 52 Bx_mMaxCell
# 53 By_mMin
# 54 By_mMinCell
# 55 By_mMax
# 56 By_mMaxCell
# 57 Bz_mMin
# 58 Bz_mMinCell
# 59 Bz_mMax
# 60 Bz_mMaxCell
# 61 JxMin
# 62 JxMinCell
# 63 JxMax
# 64 JxMaxCell
# 65 JyMin
# 66 JyMinCell
# 67 JyMax
# 68 JyMaxCell
# 69 JzMin
# 70 JzMinCell
# 71 JzMax
# 72 JzMaxCell
# 73 RhoMin
# 74 RhoMinCell
# 75 RhoMax
# 76 RhoMaxCell
# 77 PoyXmin
# 78 PoyXminInst
# 79 PoyXmax
# 80 PoyXmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw            Dens_ion            Ntot_ion            Zavg_ion            Ukin_ion            Urad_ion           Dens_eon1           Ntot_eon1           Zavg_eon1           Ukin_eon1           Urad_eon1           Dens_eon2           Ntot_eon2           Zavg_eon2           Ukin_eon2           Urad_eon2             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyXmax         PoyXmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.6423886512e-03    5.6423886512e-03    5.6423530903e-03    0.0000000000e+00    0.0000000000e+00    3.5560834365e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211765452e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211765452e-03    0.0000000000e+00    3.5560834365e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.5598652279e-04          2094475219    3.5648613445e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -2.5587171271e-17          1701473958    2.7755575616e-17                  52    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -1.9989660994e-03                 111    1.9989660994e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    9.5000000000e-01   -2.7755652043e-08   -1.5660817174e-10    5.6423884945e-03    5.6423886512e-03    5.6423801402e-03    0.0000000000e+00    0.0000000000e+00    8.3543376579e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    8.9484419874e-12    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8212014714e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211786599e-03    0.0000000000e+00    8.3543376579e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -1.7251820910e-04          2094475219    1.7281478991e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -3.3064711167e-04          2094475219    3.3105574308e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -9.6836057563e-04                 111    9.6942425251e-04                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.9000000000e+00    9.7273691449e-09    5.4885597803e-11    5.6423887060e-03    5.6423886512e-03    5.6423848873e-03    0.0000000000e+00    0.0000000000e+00    3.8187658706e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    1.0268897732e-11    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8212058353e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211790417e-03    0.0000000000e+00    3.8187658706e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -1.1682081756e-04                  83    1.1665936813e-04          1114533776    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -1.9328792162e-04          2094475219    1.9375066941e-04          1114533832    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -6.5601532512e-04                  55    6.5412849762e-04                 111    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.8500000000e+00   -1.1559683646e-08   -6.5224227061e-11    5.6423885859e-03    5.6423886512e-03    5.6423861494e-03    0.0000000000e+00    0.0000000000e+00    2.4364919316e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    2.3795925230e-12    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211974031e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211887439e-03    0.0000000000e+00    2.4364919316e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.3508261412e-05          1114533832    9.3037870742e-05          2094475219    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -2.4037650016e-04                  83    2.4051658109e-04          1114533776    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -5.1713559865e-04                  55    5.2930165874e-04                 111    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.8000000000e+00    4.5895865114e-08    2.5896232034e-10    5.6423889101e-03    5.6423886512e-03    5.6423714905e-03    0.0000000000e+00    0.0000000000e+00    1.7419600958e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    5.2977222609e-12    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211774316e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211940536e-03    0.0000000000e+00    1.7419600958e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -2.4956958727e-04          1114533776    2.4916061829e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -3.9508233270e-04          1114533832    3.9480402812e-04          1114533776    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -1.3914170503e-03                 111    1.4064763763e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.7500000000e+00    2.0286115589e-08    1.1446215070e-10    5.6423887656e-03    5.6423886512e-03    5.6423186103e-03    0.0000000000e+00    0.0000000000e+00    7.0155281338e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    4.9022378157e-11    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211451903e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211733710e-03    0.0000000000e+00    7.0155281338e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -5.0038584110e-04          2094475219    5.0037498134e-04          1114533832    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -8.3453453643e-05          1114533832    8.2959357158e-05          2094475219    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -2.8129644910e-03                 111    2.8022838868e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.7000000000e+00   -4.3914281934e-08   -2.4778143513e-10    5.6423884034e-03    5.6423886512e-03    5.6423430021e-03    0.0000000000e+00    0.0000000000e+00    4.5401242251e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    1.5896387406e-10    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211631839e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211796593e-03    0.0000000000e+00    4.5401242251e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -4.0231302639e-04          2094475219    4.0272459090e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -2.3373969501e-04          2094475219    2.3344528396e-04          1114533832    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -2.2585384986e-03                 111    2.2589649637e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    6.6500000000e+00   -8.0893379037e-09   -4.5643188014e-11    5.6423886055e-03    5.6423886512e-03    5.6423757171e-03    0.0000000000e+00    0.0000000000e+00    1.2888438866e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    2.5877508136e-10    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211921447e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211833136e-03    0.0000000000e+00    1.2888438866e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -2.1432661189e-04          1114533776    2.1479536209e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -7.5712303629e-05          2094475218    7.5959369124e-05          1114533832    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -1.1810816706e-03                 111    1.2256625523e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    7.6000000000e+00    7.0787304141e-08    3.9940950981e-10    5.6423890506e-03    5.6423886512e-03    5.6423507634e-03    0.0000000000e+00    0.0000000000e+00    3.8287199951e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    3.6286156480e-10    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211886246e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8211617759e-03    0.0000000000e+00    3.8287199951e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.6980368425e-04          1114533776    3.6993389202e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -4.0350039408e-04                  83    4.0405199857e-04          1114533776    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -2.0224984770e-03                 111    2.1252188124e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    8.5500000000e+00    2.7393447080e-07    1.5456451726e-09    5.6423901968e-03    5.6423886512e-03    5.6421628718e-03    0.0000000000e+00    0.0000000000e+00    2.2732503785e-07    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1200000000e+00    1.1200000000e+03    1.0000000000e+00    6.8940346232e-10    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8210924430e-03    0.0000000000e+00    5.6000000000e-01    1.1200000000e+03   -1.0000000000e+00    2.8210697393e-03    0.0000000000e+00    2.2732503785e-07    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0120005515e-04          1114533776    9.0093921434e-04                  83    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -6.3211109379e-04                  83    6.3242148414e-04          1114533776    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748    0.0000000000e+00          1114533748   -4.9798174299e-03                 111    5.1273842283e-03                  55    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
