

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.742e-01	 3.937e-01	 4.144e-01	 1.903e-02
       Maxwell	 7.817e-03	 7.945e-03	 8.064e-03	 9.856e-05
   Diagnostics	 1.339e+00	 1.350e+00	 1.361e+00	 1.051e-02
    Collisions	 6.888e-03	 6.942e-03	 7.068e-03	 7.320e-05
Sync Particles	 1.921e-01	 1.982e-01	 2.085e-01	 6.512e-03
   Sync Fields	 2.405e-02	 2.446e-02	 2.484e-02	 3.292e-04
Sync Densities	 5.081e-02	 6.004e-02	 6.885e-02	 6.384e-03
  Part Merging	 3.999e-03	 4.090e-03	 4.134e-03	 5.362e-05
Part Injection	 3.442e-03	 3.538e-03	 3.623e-03	 6.479e-05


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.141e-01	 4.376e-01	 4.628e-01	 2.325e-02
       Maxwell	 8.685e-03	 8.828e-03	 8.959e-03	 1.110e-04
   Diagnostics	 1.506e+00	 1.518e+00	 1.530e+00	 1.141e-02
    Collisions	 7.657e-03	 7.716e-03	 7.852e-03	 7.918e-05
Sync Particles	 2.127e-01	 2.196e-01	 2.312e-01	 7.393e-03
   Sync Fields	 2.679e-02	 2.732e-02	 2.782e-02	 4.322e-04
Sync Densities	 5.571e-02	 6.809e-02	 8.032e-02	 8.763e-03
  Part Merging	 4.442e-03	 4.544e-03	 4.593e-03	 6.032e-05
Part Injection	 3.824e-03	 3.930e-03	 4.024e-03	 7.181e-05


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.141e-01	 4.376e-01	 4.628e-01	 2.325e-02
       Maxwell	 8.685e-03	 8.828e-03	 8.959e-03	 1.110e-04
   Diagnostics	 1.506e+00	 1.518e+00	 1.530e+00	 1.142e-02
    Collisions	 7.661e-03	 7.721e-03	 7.857e-03	 7.933e-05
Sync Particles	 2.127e-01	 2.196e-01	 2.312e-01	 7.393e-03
   Sync Fields	 2.679e-02	 2.732e-02	 2.782e-02	 4.322e-04
Sync Densities	 5.571e-02	 6.809e-02	 8.032e-02	 8.763e-03
  Part Merging	 4.442e-03	 4.544e-03	 4.593e-03	 6.032e-05
Part Injection	 3.824e-03	 3.930e-03	 4.024e-03	 7.181e-05
